mmsi,imo
229719000,9304825
232017460,9829681
239527875,9291171
246889000,9473195
255805609,9691929
255805859,9702273
256900000,9530632
302317128,9647904
311000319,9733105
311012500,9538127
319182000,9423683
319819000,9476757
351347000,9459448
351929000,9594078
352177000,9232553
353293380,9413286
353695000,9130573
355807800,9536686
356276000,9286865
370188000,9345439
371427000,9293911
373228000,9604926
373788000,9495959
374196000,9705005
374613000,9773155
374762000,9453418
413053000,9234343
431642047,9384590
441746000,9489235
477049200,9401025
477144500,9448841
477317800,9439644
477369200,9714654
477595900,9548548
477728400,9162215
477790100,9702704
518100368,9832145
525010240,9113991
525018505,9034717
525020207,9690030
525500257,9100700
525851264,9276676
533000980,9036155
533014500,9448449
533157968,9381354
533656000,9189122
538003095,9265744
538003950,9463750
538004658,9478755
538004758,9604029
538005062,9643166
538005093,9654579
538005869,9707390
538006573,9294288
538006988,9273715
538007014,9290878
538007631,9795919
538008230,9289489
538008237,9235244
538015716,9415698
562692632,9537159
562769921,9682306
563006900,9703590
563027556,9670195
563039676,9808481
563059400,9825051
563067400,9826433
563098900,9443360
563218019,9724582
563290696,9118393
563393000,9250907
563428000,8858946
563510296,9300879
563733000,9687631
564343000,9427902
564390984,9736834
564469000,9176694
565237484,9712553
565299000,9379430
565309008,9254264
565356376,9560766
565682992,9403009
565736000,9433200
566009984,9477543
566044184,9466867
566187207,9239862
568787624,9604380
636013380,9406910
636014200,9397614
636016100,9595278
636016266,9593311
636016556,9345609
636016611,9247821
636017987,9434216
636018605,9833668
636018711,9749714
636019095,9467677
636092191,9537379
636411175,9178288
677057500,9511911
969848688,9308637
201568873,9724697
212587000,9734159
215031000,9567958
224152000,9259276
232012730,9217618
235050800,9698745
235108531,9683051
235108619,9701798
241096000,9495727
249055000,9189419
255805575,9304708
255806220,9813838
311016600,9406104
311050500,9468437
314435000,9182162
314487000,9595204
319057500,9536923
319995000,9503990
341902000,9549164
351409000,9659775
351805000,9687083
352767000,9197844
352772000,9202388
352799000,9191400
353007000,9478274
353456686,9482665
353863000,9446130
354264000,9735373
354383000,9576909
355294000,8910902
355457000,9207065
355481000,9479319
355575000,9675729
356320000,9727297
357384960,9426312
357499676,9761982
370063286,8898879
370508000,9402706
370876000,9439034
370959000,9356701
371805016,9189184
373130016,9613977
373134000,9704960
373423000,9663829
374366000,9643154
374792000,9755804
413376290,9349928
413378150,9733193
413380540,9150303
440011000,9197143
441387000,9460186
474382312,9511909
477030700,9516416
477098900,9583823
477148400,9789881
477151300,9427897
477219800,9614048
477327600,9716028
477478400,9279707
477519300,9642796
477686300,9250153
477700700,9591806
477742200,9185865
477810800,9526708
490971432,8304012
511941000,9116577
518196656,9548811
525015729,9549865
525018150,9699804
525021120,7106059
525299464,9152985
533016100,8891948
533131005,9869801
537103651,9724582
538002639,9401489
538003617,9402495
538004575,9501162
538004969,9030981
538005190,9332963
538005438,9188623
538006500,9718765
538006703,9747417
538007643,9418377
538007734,9743198
539255160,9412763
562751937,9646948
562760907,9531337
563021112,9551442
563022310,9236901
563036656,9358802
